LIBGEO,AN,TYPE_LOG,NOMBRE
Caussiniojouls,2022,Résidences principales,74.0526315789476
Caux,2022,Résidences principales,1231.0
Le Caylar,2022,Résidences principales,230.093872938944
Cazedarnes,2022,Résidences principales,257.66898643992
Cazevieille,2022,Résidences principales,95.1652173913044
Cazilhac,2022,Résidences principales,716.581634410974
Cazouls-d'Hérault,2022,Résidences principales,195.538228506309
Cazouls-lès-Béziers,2022,Résidences principales,2202.49499085074
Cébazan,2022,Résidences principales,279.96266536968
Ceilhes-et-Rocozels,2022,Résidences principales,143.0
Celles,2022,Résidences principales,14.8148148148148
Cers,2022,Résidences principales,1101.49372784803
Cessenon-sur-Orb,2022,Résidences principales,1113.33213223727
Cesseras,2022,Résidences principales,213.380947461415
Ceyras,2022,Résidences principales,581.892293196714
Clapiers,2022,Résidences principales,2565.0
Claret,2022,Résidences principales,692.115232098419
Clermont-l'Hérault,2022,Résidences principales,4358.69951471729
Colombières-sur-Orb,2022,Résidences principales,246.903186041667
Colombiers,2022,Résidences principales,1320.78597381765
Combaillaux,2022,Résidences principales,763.77123081566
Combes,2022,Résidences principales,118.886504637163
Corneilhan,2022,Résidences principales,746.0
Coulobres,2022,Résidences principales,169.0
Courniou,2022,Résidences principales,311.003395432991
Cournonsec,2022,Résidences principales,1359.8949940948
Cournonterral,2022,Résidences principales,2902.01618510172
Creissan,2022,Résidences principales,602.132488061639
Le Crès,2022,Résidences principales,4130.37683486797
Le Cros,2022,Résidences principales,25.4464285714285
Cruzy,2022,Résidences principales,474.765721927118
Espondeilhan,2022,Résidences principales,498.987857209574
Fabrègues,2022,Résidences principales,3254.0
Faugères,2022,Résidences principales,271.465432128333
Félines-Minervois,2022,Résidences principales,257.0
Ferrals-les-Montagnes,2022,Résidences principales,70.1372549019608
Ferrières-les-Verreries,2022,Résidences principales,23.4893617021277
Ferrières-Poussarou,2022,Résidences principales,34.4054054054054
Florensac,2022,Résidences principales,2287.63043261156
Fontanès,2022,Résidences principales,142.667262928383
Fontès,2022,Résidences principales,476.837839380946
Fos,2022,Résidences principales,56.1428571428572
Fouzilhon,2022,Résidences principales,112.0
Fozières,2022,Résidences principales,93.3870967741935
Fraisse-sur-Agout,2022,Résidences principales,172.199943396977
Frontignan,2022,Résidences principales,10879.4262717022
Gabian,2022,Résidences principales,416.642169684572
Galargues,2022,Résidences principales,315.407635920742
Ganges,2022,Résidences principales,2031.51052445488
Garrigues,2022,Résidences principales,99.2792792792797
Gigean,2022,Résidences principales,2658.98083356919
Gignac,2022,Résidences principales,2769.40708789137
Gorniès,2022,Résidences principales,67.2300884955752
Grabels,2022,Résidences principales,4292.0
Graissessac,2022,Résidences principales,332.68570614166
Guzargues,2022,Résidences principales,195.633631162996
Hérépian,2022,Résidences principales,789.257812256802
Jacou,2022,Résidences principales,2930.93924274452
Joncels,2022,Résidences principales,138.354663756349
Jonquières,2022,Résidences principales,243.73718325286
Juvignac,2022,Résidences principales,6296.30584485838
Lacoste,2022,Résidences principales,139.524819935224
Lagamas,2022,Résidences principales,51.5315315315315
Lamalou-les-Bains,2022,Résidences principales,1108.06335762106
Lansargues,2022,Résidences principales,1364.63714712894
Laroque,2022,Résidences principales,797.0
Lattes,2022,Résidences principales,8736.06864891033
Laurens,2022,Résidences principales,771.034114334772
