LIBGEO,AN,LOG,TYPE_HABITAT,NOMBRE
Liausson,2022,138,Appartements,27
Lieuran-Cabrières,2022,198,Appartements,9
Lieuran-lès-Béziers,2022,749,Appartements,29
Lignan-sur-Orb,2022,1576,Appartements,136
La Livinière,2022,474,Appartements,5
Lodève,2022,4273,Appartements,2376
Loupian,2022,1288,Appartements,153
Lunas-les-Châteaux,2022,790,Appartements,77
Lunel,2022,12660,Appartements,5349
Lunel-Viel,2022,1983,Appartements,382
Magalas,2022,1793,Appartements,133
Maraussan,2022,2308,Appartements,368
Margon,2022,405,Appartements,10
Marseillan,2022,10596,Appartements,4956
Marsillargues,2022,3827,Appartements,1208
Mas-de-Londres,2022,309,Appartements,32
Les Matelles,2022,904,Appartements,108
Mauguio,2022,12843,Appartements,7367
Maureilhan,2022,1209,Appartements,92
Mérifons,2022,57,Appartements,4
Mèze,2022,7489,Appartements,2948
Minerve,2022,111,Appartements,10
Mireval,2022,1574,Appartements,314
Mons,2022,593,Appartements,33
Montady,2022,1882,Appartements,108
Montagnac,2022,2439,Appartements,477
Montarnaud,2022,1693,Appartements,233
Montaud,2022,462,Appartements,37
Montbazin,2022,1325,Appartements,240
Montblanc,2022,1480,Appartements,163
Montels,2022,133,Appartements,11
Montesquieu,2022,64,Appartements,4
Montferrier-sur-Lez,2022,1926,Appartements,407
Montouliers,2022,228,Appartements,20
Montoulieu,2022,115,Appartements,22
Montpellier,2022,184054,Appartements,159945
Montpeyroux,2022,803,Appartements,50
Moulès-et-Baucels,2022,432,Appartements,28
Mourèze,2022,142,Appartements,21
Mudaison,2022,1358,Appartements,308
Murles,2022,157,Appartements,4
Murviel-lès-Béziers,2022,1648,Appartements,188
Murviel-lès-Montpellier,2022,854,Appartements,84
Nébian,2022,823,Appartements,69
Neffiès,2022,705,Appartements,33
Nézignan-l'Évêque,2022,937,Appartements,76
Nissan-lez-Enserune,2022,2307,Appartements,302
Nizas,2022,442,Appartements,37
Notre-Dame-de-Londres,2022,302,Appartements,46
Octon,2022,349,Appartements,27
Olargues,2022,488,Appartements,64
