LIBGEO,AN,ANNEE_CONS,NOMBRE
Saint-Laurent-des-Arbres,2022,Construites avant 1919,
Saint-Laurent-la-Vernède,2022,Construites avant 1919,
Saint-Laurent-le-Minier,2022,Construites avant 1919,
Saint-Mamert-du-Gard,2022,Construites avant 1919,
Saint-Marcel-de-Careiret,2022,Construites avant 1919,
Saint-Martial,2022,Construites avant 1919,
Saint-Martin-de-Valgalgues,2022,Construites avant 1919,
Saint-Maurice-de-Cazevieille,2022,Construites avant 1919,
Saint-Maximin,2022,Construites avant 1919,
Saint-Michel-d'Euzet,2022,Construites avant 1919,
Saint-Nazaire,2022,Construites avant 1919,
Saint-Nazaire-des-Gardies,2022,Construites avant 1919,
Saint-Paulet-de-Caisson,2022,Construites avant 1919,
Saint-Paul-la-Coste,2022,Construites avant 1919,
Saint-Pons-la-Calm,2022,Construites avant 1919,
Saint-Privat-de-Champclos,2022,Construites avant 1919,
Saint-Privat-des-Vieux,2022,Construites avant 1919,
Saint-Quentin-la-Poterie,2022,Construites avant 1919,
Saint-Roman-de-Codières,2022,Construites avant 1919,
Saint-Sauveur-Camprieu,2022,Construites avant 1919,
Saint-Sébastien-d'Aigrefeuille,2022,Construites avant 1919,
Saint-Siffret,2022,Construites avant 1919,
Saint-Théodorit,2022,Construites avant 1919,
Saint-Victor-des-Oules,2022,Construites avant 1919,
Saint-Victor-la-Coste,2022,Construites avant 1919,
Saint-Victor-de-Malcap,2022,Construites avant 1919,
Salazac,2022,Construites avant 1919,
Salindres,2022,Construites avant 1919,
Salinelles,2022,Construites avant 1919,
Les Salles-du-Gardon,2022,Construites avant 1919,
Sanilhac-Sagriès,2022,Construites avant 1919,
Sardan,2022,Construites avant 1919,
Saumane,2022,Construites avant 1919,
Sauve,2022,Construites avant 1919,
Sauveterre,2022,Construites avant 1919,
Sauzet,2022,Construites avant 1919,
Savignargues,2022,Construites avant 1919,
Saze,2022,Construites avant 1919,
Sénéchas,2022,Construites avant 1919,
Sernhac,2022,Construites avant 1919,
Servas,2022,Construites avant 1919,
Serviers-et-Labaume,2022,Construites avant 1919,
Seynes,2022,Construites avant 1919,
Sommières,2022,Construites avant 1919,
Soudorgues,2022,Construites avant 1919,
Soustelle,2022,Construites avant 1919,
Souvignargues,2022,Construites avant 1919,
Sumène,2022,Construites avant 1919,
Tavel,2022,Construites avant 1919,
Tharaux,2022,Construites avant 1919,
Théziers,2022,Construites avant 1919,
Thoiras-Corbès,2022,Construites avant 1919,
Tornac,2022,Construites avant 1919,
Tresques,2022,Construites avant 1919,
Trèves,2022,Construites avant 1919,
Uchaud,2022,Construites avant 1919,
Uzès,2022,Construites avant 1919,
Vabres,2022,Construites avant 1919,
Vallabrègues,2022,Construites avant 1919,
Vallabrix,2022,Construites avant 1919,
Vallérargues,2022,Construites avant 1919,
Val-d'Aigoual,2022,Construites avant 1919,
Valliguières,2022,Construites avant 1919,
Vauvert,2022,Construites avant 1919,
Vénéjan,2022,Construites avant 1919,
Verfeuil,2022,Construites avant 1919,
Vergèze,2022,Construites avant 1919,
La Vernarède,2022,Construites avant 1919,
Vers-Pont-du-Gard,2022,Construites avant 1919,
Vestric-et-Candiac,2022,Construites avant 1919,
Vézénobres,2022,Construites avant 1919,
Vic-le-Fesq,2022,Construites avant 1919,
Le Vigan,2022,Construites avant 1919,
Villeneuve-lès-Avignon,2022,Construites avant 1919,
Villevieille,2022,Construites avant 1919,
Vissec,2022,Construites avant 1919,
Montagnac,2022,Construites avant 1919,
Saint-Paul-les-Fonts,2022,Construites avant 1919,
Rodilhan,2022,Construites avant 1919,
Abeilhan,2022,Construites avant 1919,
Adissan,2022,Construites avant 1919,
Agde,2022,Construites avant 1919,
Agel,2022,Construites avant 1919,
Agonès,2022,Construites avant 1919,
Aigne,2022,Construites avant 1919,
Aigues-Vives,2022,Construites avant 1919,
Les Aires,2022,Construites avant 1919,
Alignan-du-Vent,2022,Construites avant 1919,
Aniane,2022,Construites avant 1919,
Arboras,2022,Construites avant 1919,
Argelliers,2022,Construites avant 1919,
Aspiran,2022,Construites avant 1919,
Assas,2022,Construites avant 1919,
Assignan,2022,Construites avant 1919,
Aumelas,2022,Construites avant 1919,
Aumes,2022,Construites avant 1919,
Autignac,2022,Construites avant 1919,
Avène,2022,Construites avant 1919,
Azillanet,2022,Construites avant 1919,
Babeau-Bouldoux,2022,Construites avant 1919,
Baillargues,2022,Construites avant 1919,
Balaruc-les-Bains,2022,Construites avant 1919,
Balaruc-le-Vieux,2022,Construites avant 1919,
Bassan,2022,Construites avant 1919,
Beaufort,2022,Construites avant 1919,
Beaulieu,2022,Construites avant 1919,
Bédarieux,2022,Construites avant 1919,
Bélarga,2022,Construites avant 1919,
Berlou,2022,Construites avant 1919,
Bessan,2022,Construites avant 1919,
Béziers,2022,Construites avant 1919,
Boisseron,2022,Construites avant 1919,
Boisset,2022,Construites avant 1919,
La Boissière,2022,Construites avant 1919,
Le Bosc,2022,Construites avant 1919,
Boujan-sur-Libron,2022,Construites avant 1919,
Le Bousquet-d'Orb,2022,Construites avant 1919,
Bouzigues,2022,Construites avant 1919,
Brenas,2022,Construites avant 1919,
Brignac,2022,Construites avant 1919,
Brissac,2022,Construites avant 1919,
Buzignargues,2022,Construites avant 1919,
Cabrerolles,2022,Construites avant 1919,
Cabrières,2022,Construites avant 1919,
Cambon-et-Salvergues,2022,Construites avant 1919,
Campagnan,2022,Construites avant 1919,
Campagne,2022,Construites avant 1919,
Camplong,2022,Construites avant 1919,
Candillargues,2022,Construites avant 1919,
Canet,2022,Construites avant 1919,
Capestang,2022,Construites avant 1919,
Carlencas-et-Levas,2022,Construites avant 1919,
Cassagnoles,2022,Construites avant 1919,
Castanet-le-Haut,2022,Construites avant 1919,
Castelnau-de-Guers,2022,Construites avant 1919,
Castelnau-le-Lez,2022,Construites avant 1919,
Castries,2022,Construites avant 1919,
La Caunette,2022,Construites avant 1919,
Causse-de-la-Selle,2022,Construites avant 1919,
Causses-et-Veyran,2022,Construites avant 1919,
Caussiniojouls,2022,Construites avant 1919,
Caux,2022,Construites avant 1919,
Le Caylar,2022,Construites avant 1919,
Cazedarnes,2022,Construites avant 1919,
Cazevieille,2022,Construites avant 1919,
Cazilhac,2022,Construites avant 1919,
Cazouls-d'Hérault,2022,Construites avant 1919,
Cazouls-lès-Béziers,2022,Construites avant 1919,
Cébazan,2022,Construites avant 1919,
Ceilhes-et-Rocozels,2022,Construites avant 1919,
Celles,2022,Construites avant 1919,
Cers,2022,Construites avant 1919,
Cessenon-sur-Orb,2022,Construites avant 1919,
Cesseras,2022,Construites avant 1919,
Ceyras,2022,Construites avant 1919,
Clapiers,2022,Construites avant 1919,
Claret,2022,Construites avant 1919,
Clermont-l'Hérault,2022,Construites avant 1919,
Colombières-sur-Orb,2022,Construites avant 1919,
Colombiers,2022,Construites avant 1919,
Combaillaux,2022,Construites avant 1919,
Combes,2022,Construites avant 1919,
Corneilhan,2022,Construites avant 1919,
Coulobres,2022,Construites avant 1919,
Courniou,2022,Construites avant 1919,
Cournonsec,2022,Construites avant 1919,
Cournonterral,2022,Construites avant 1919,
Creissan,2022,Construites avant 1919,
Le Crès,2022,Construites avant 1919,
Le Cros,2022,Construites avant 1919,
Cruzy,2022,Construites avant 1919,
Espondeilhan,2022,Construites avant 1919,
Fabrègues,2022,Construites avant 1919,
Faugères,2022,Construites avant 1919,
Félines-Minervois,2022,Construites avant 1919,
Ferrals-les-Montagnes,2022,Construites avant 1919,
Ferrières-les-Verreries,2022,Construites avant 1919,
Ferrières-Poussarou,2022,Construites avant 1919,
Florensac,2022,Construites avant 1919,
Fontanès,2022,Construites avant 1919,
Fontès,2022,Construites avant 1919,
Fos,2022,Construites avant 1919,
Fouzilhon,2022,Construites avant 1919,
Fozières,2022,Construites avant 1919,
Fraisse-sur-Agout,2022,Construites avant 1919,
Frontignan,2022,Construites avant 1919,
Gabian,2022,Construites avant 1919,
Galargues,2022,Construites avant 1919,
Ganges,2022,Construites avant 1919,
Garrigues,2022,Construites avant 1919,
Gigean,2022,Construites avant 1919,
Gignac,2022,Construites avant 1919,
Gorniès,2022,Construites avant 1919,
Grabels,2022,Construites avant 1919,
Graissessac,2022,Construites avant 1919,
Guzargues,2022,Construites avant 1919,
Hérépian,2022,Construites avant 1919,
Jacou,2022,Construites avant 1919,
Joncels,2022,Construites avant 1919,
Jonquières,2022,Construites avant 1919,
Juvignac,2022,Construites avant 1919,
Lacoste,2022,Construites avant 1919,
Lagamas,2022,Construites avant 1919,
Lamalou-les-Bains,2022,Construites avant 1919,
Lansargues,2022,Construites avant 1919,
Laroque,2022,Construites avant 1919,
Lattes,2022,Construites avant 1919,
Laurens,2022,Construites avant 1919,
Lauret,2022,Construites avant 1919,
Lauroux,2022,Construites avant 1919,
Lavalette,2022,Construites avant 1919,
Lavérune,2022,Construites avant 1919,
Lespignan,2022,Construites avant 1919,
Lézignan-la-Cèbe,2022,Construites avant 1919,
Liausson,2022,Construites avant 1919,
Lieuran-Cabrières,2022,Construites avant 1919,
Lieuran-lès-Béziers,2022,Construites avant 1919,
Lignan-sur-Orb,2022,Construites avant 1919,
La Livinière,2022,Construites avant 1919,
Lodève,2022,Construites avant 1919,
Loupian,2022,Construites avant 1919,
Lunas-les-Châteaux,2022,Construites avant 1919,
Lunel,2022,Construites avant 1919,
Lunel-Viel,2022,Construites avant 1919,
Magalas,2022,Construites avant 1919,
Maraussan,2022,Construites avant 1919,
Margon,2022,Construites avant 1919,
Marseillan,2022,Construites avant 1919,
Marsillargues,2022,Construites avant 1919,
Mas-de-Londres,2022,Construites avant 1919,
Les Matelles,2022,Construites avant 1919,
Mauguio,2022,Construites avant 1919,
Maureilhan,2022,Construites avant 1919,
Mérifons,2022,Construites avant 1919,
Mèze,2022,Construites avant 1919,
Minerve,2022,Construites avant 1919,
Mireval,2022,Construites avant 1919,
Mons,2022,Construites avant 1919,
Montady,2022,Construites avant 1919,
Montagnac,2022,Construites avant 1919,
Montarnaud,2022,Construites avant 1919,
Montaud,2022,Construites avant 1919,
Montbazin,2022,Construites avant 1919,
Montblanc,2022,Construites avant 1919,
Montels,2022,Construites avant 1919,
Montesquieu,2022,Construites avant 1919,
Montferrier-sur-Lez,2022,Construites avant 1919,
Montouliers,2022,Construites avant 1919,
Montoulieu,2022,Construites avant 1919,
Montpellier,2022,Construites avant 1919,
Montpeyroux,2022,Construites avant 1919,
Moulès-et-Baucels,2022,Construites avant 1919,
Mourèze,2022,Construites avant 1919,
Mudaison,2022,Construites avant 1919,
Murles,2022,Construites avant 1919,
Murviel-lès-Béziers,2022,Construites avant 1919,
Murviel-lès-Montpellier,2022,Construites avant 1919,
Nébian,2022,Construites avant 1919,
Neffiès,2022,Construites avant 1919,
Nézignan-l'Évêque,2022,Construites avant 1919,
Nissan-lez-Enserune,2022,Construites avant 1919,
Nizas,2022,Construites avant 1919,
Notre-Dame-de-Londres,2022,Construites avant 1919,
Octon,2022,Construites avant 1919,
Olargues,2022,Construites avant 1919,
Olmet-et-Villecun,2022,Construites avant 1919,
Olonzac,2022,Construites avant 1919,
Oupia,2022,Construites avant 1919,
Pailhès,2022,Construites avant 1919,
Palavas-les-Flots,2022,Construites avant 1919,
Pardailhan,2022,Construites avant 1919,
Paulhan,2022,Construites avant 1919,
Pégairolles-de-Buèges,2022,Construites avant 1919,
Pégairolles-de-l'Escalette,2022,Construites avant 1919,
Péret,2022,Construites avant 1919,
Pérols,2022,Construites avant 1919,
Pézenas,2022,Construites avant 1919,
Pézènes-les-Mines,2022,Construites avant 1919,
Pierrerue,2022,Construites avant 1919,
Pignan,2022,Construites avant 1919,
Pinet,2022,Construites avant 1919,
Plaissan,2022,Construites avant 1919,
Les Plans,2022,Construites avant 1919,
Poilhes,2022,Construites avant 1919,
Pomérols,2022,Construites avant 1919,
Popian,2022,Construites avant 1919,
Portiragnes,2022,Construites avant 1919,
Le Pouget,2022,Construites avant 1919,
Le Poujol-sur-Orb,2022,Construites avant 1919,
Poujols,2022,Construites avant 1919,
